29.55356087368884	-9.329669840008094
23.48280869805636	-15.737694441978276
16.737528502909143	-24.50657021309536
14.376680434607607	-31.92638817327135
15.051208454122332	-42.71885066080007
15.725736473637056	-46.42875964088808
7.631400239460405	-47.777817451829165
-4.847368121561956	-46.0914951881528
-13.953496385010697	-40.69526394438845
-19.0124565313711	-33.27544598421244
-21.71056860943	-27.541950287712808
-27.78132078506249	-29.228272551389185
-35.20112899972443	-35.63629715335935
-40.5973531558422	-35.29903270062408
-44.30725726317317	-32.26365262600663
