-29.852332594978776	-35.13040047425645
-37.15891336972111	-31.76597511791735
-43.421067820949766	-32.15736028518158
-48.11768365937125	-34.505671288766905
-45.769375740160505	-43.507530135843965
-38.33306732932649	-47.81276697575039
-34.41922079730858	-47.81276697575039
-28.93983565248351	-48.59553731027883
-24.634604467263813	-52.50938898292103
-21.503527241649493	-59.94570716094122
-12.501680218008318	-61.90263299726232
-10.54475695199936	-61.90263299726232
-1.5429099283581849	-60.72847749546966
2.370936603659729	-57.20601099009168
5.1106291760722655	-52.11800381565681
3.1537059100633087	-46.63861147395773
2.370936603659729	-43.116144968579746
1.588167297256149	-40.376448797730205
